2026-02-02 00:48:13 | ERROR | db | Write operation failed: storage quota exceeded bucket=staging-uploads (env=dev, region=me-south-1, ip=122.65.186.170, request_id=iwbe6v79tuo6y6kw, trace_id=7hp1dpfyeu2i1z0gdlnsh1un, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 00:49:47 | ERROR | db | Service dependency not responding dependency=redis (env=staging, region=us-east-1, ip=204.122.152.63, request_id=yso3z6chwqzpqu0t, trace_id=4kbqvq4lhk19tevzsflc7474, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 00:53:10 | ERROR | db | Payment gateway returned 502 provider=adyen (env=dev, region=eu-west-1, ip=169.79.44.12, request_id=t7xvri8u6ivmakmc, trace_id=evm8z9yt399jxes3iitxemss, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 00:58:27 | ERROR | db | Worker crashed: out of memory rss_mb=6722 (env=prod, region=us-east-1, ip=253.220.120.33, request_id=uau5zmyrf89zrgnq, trace_id=xcjg3i2hwdm2k842kbotsv0j, ua="curl/8.4.0")
2026-02-02 01:11:16 | ERROR | db | Data validation error: missing required field field=sku (env=staging, region=ap-southeast-1, ip=71.91.197.36, request_id=3hxndhlrx6u8t7ex, trace_id=n8jmfrgorsngqf5cvrfzwpaa, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-02 01:12:40 | ERROR | db | Authentication failed due to invalid token user_id=1930 (env=prod, region=eu-west-1, ip=237.135.157.239, request_id=3fbfjsoce7liwpe3, trace_id=e7917uf05zheeht5iuqdhkao, ua="PostmanRuntime/7.36.0")
2026-02-02 01:12:55 | ERROR | db | Service dependency not responding dependency=redis (env=prod, region=us-east-1, ip=96.92.246.104, request_id=dfb31jxxev3t7dvs, trace_id=dh20egnkrzf01pqrgfi7me3r, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-02 01:22:19 | ERROR | db | DB timeout while fetching user profile user_id=2541 (env=staging, region=us-east-1, ip=146.242.98.212, request_id=y045gmwb56ywdhb7, trace_id=ex83z82cukh3njebetoi38y2, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-02 01:32:57 | ERROR | db | Write operation failed: storage quota exceeded bucket=prod-uploads (env=dev, region=us-east-1, ip=17.37.244.228, request_id=fhql5ektrcx4g5i1, trace_id=s2v2f1haeszk2lkh1ijx3ohv, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-02 01:51:26 | ERROR | db | Service dependency not responding dependency=search-index (env=prod, region=me-south-1, ip=188.165.14.189, request_id=yuqzfj1fdc4vl72k, trace_id=6c54ndfe8qeyl5iq44f1askz, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 01:57:58 | ERROR | db | Worker crashed: out of memory rss_mb=5671 (env=prod, region=ap-southeast-1, ip=211.32.82.229, request_id=3xumqqt9wd5f96m0, trace_id=tiindui7q3i0lylxzjdz0zpq, ua="curl/8.4.0")
2026-02-02 01:58:17 | ERROR | db | Unhandled exception type=IOError message=permission denied (env=prod, region=eu-west-1, ip=76.41.60.232, request_id=0qsc91n47y9iy1bj, trace_id=x5p3rpmar99qtdm6q2npd0z1, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 01:58:21 | ERROR | db | Worker crashed: out of memory rss_mb=7434 (env=prod, region=me-south-1, ip=155.139.93.247, request_id=r42nlde9lrtcbjig, trace_id=fp1ab2ms670lnh5prm08fg1m, ua="PostmanRuntime/7.36.0")
2026-02-02 02:07:22 | ERROR | db | Unhandled exception type=IOError message=invalid format (env=prod, region=ap-southeast-1, ip=180.219.230.118, request_id=bn9zbmdh8ush5r5y, trace_id=9p2uxb9a3sd3mub6vej39wa1, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-02 02:07:27 | ERROR | db | Service dependency not responding dependency=s3 (env=staging, region=ap-southeast-1, ip=118.24.110.175, request_id=uvc3h34xmuxq3558, trace_id=msd8ploqyaucd4wuqorsa2h7, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-02 02:09:05 | ERROR | db | Write operation failed: storage quota exceeded bucket=prod-uploads (env=prod, region=us-east-1, ip=87.180.153.228, request_id=4q65rj9rhd6p2jez, trace_id=5ffr6brzdmccurvtxptx39kz, ua="PostmanRuntime/7.36.0")
2026-02-02 02:10:17 | ERROR | db | Data validation error: missing required field field=token (env=prod, region=me-south-1, ip=38.254.159.45, request_id=4cg52vd35myy6v04, trace_id=aryt777t3csx8bkn4yt2536t, ua="curl/8.4.0")
2026-02-02 02:10:26 | ERROR | db | Connection refused dependency=postgres (env=prod, region=eu-west-1, ip=139.37.204.245, request_id=j4ow9j72hzd4nm8u, trace_id=4gv5yb0puoermlx78k6yuqsp, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 02:24:04 | ERROR | db | Service dependency not responding dependency=search-index (env=prod, region=ap-southeast-1, ip=83.92.15.238, request_id=br1rie7s4xuaho9n, trace_id=17rzfs2xz6yz0wukw9jl5rk8, ua="PostmanRuntime/7.36.0")
2026-02-02 02:41:59 | ERROR | db | Connection refused dependency=cdn-edge (env=staging, region=eu-west-1, ip=123.93.245.16, request_id=h81t4tvp9ttdcdur, trace_id=d2p6tslf2xhyn6fpbolo3ko8, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 02:46:35 | ERROR | db | Service dependency not responding dependency=s3 (env=prod, region=ap-southeast-1, ip=29.71.144.96, request_id=ym0o2c94k3scevy8, trace_id=vnzjefrq1xib915xcnbcdlb0, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-02 02:52:39 | ERROR | db | Upstream service unavailable dependency=s3 (env=prod, region=us-east-1, ip=44.120.130.49, request_id=ij1pk01wl7sd10s9, trace_id=ml431lb60h5n7pf1owlxkhpn, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-02 02:54:13 | ERROR | db | Worker crashed: out of memory rss_mb=5770 (env=staging, region=ap-southeast-1, ip=28.226.4.153, request_id=1wluyvimu6audq58, trace_id=4nsq3fj1mn3fdsf3pem11eek, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 02:57:52 | ERROR | db | Connection refused dependency=postgres (env=prod, region=me-south-1, ip=237.54.241.96, request_id=2q37gtjato5vikwo, trace_id=95pgwvldfuym24og02fhob70, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-02 03:05:11 | ERROR | db | Authentication failed due to invalid token user_id=6763 (env=prod, region=ap-southeast-1, ip=28.189.203.115, request_id=8c46papijtxnui6a, trace_id=iabd4kz2bf2nelpkuprx5rc9, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-02 03:09:23 | ERROR | db | Data validation error: missing required field field=email (env=prod, region=eu-west-1, ip=23.155.65.190, request_id=uc8nqsy18kvv7vjk, trace_id=lhre5wjolrh5n1sp3o5n2y6m, ua="PostmanRuntime/7.36.0")
2026-02-02 03:14:45 | ERROR | db | Data validation error: missing required field field=currency (env=dev, region=me-south-1, ip=28.8.186.48, request_id=lo6s0zqcgakbi0et, trace_id=yucxhxbi4h89fwrwnah6s945, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-02 03:15:59 | ERROR | db | DB timeout while fetching user profile user_id=3715 (env=prod, region=eu-west-1, ip=222.225.41.201, request_id=vpzyi7unc61s4y24, trace_id=gjloewl8xpqqehuca0qqytle, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
